Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,division,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,season,jornada
2005-10-23,Sociedad,La Coruna,2.0,0.0,H,0.0,0.0,D,1,16.0,13.0,9.0,1.0,26.0,14.0,5.0,4.0,2.0,2.0,0.0,0.0,05-06,8
2005-10-23,Villarreal,Mallorca,3.0,0.0,H,3.0,0.0,H,1,18.0,13.0,7.0,2.0,13.0,16.0,4.0,6.0,1.0,1.0,0.0,0.0,05-06,8
2005-10-23,Cadiz,Ath Bilbao,1.0,0.0,H,1.0,0.0,H,1,11.0,12.0,2.0,0.0,20.0,10.0,3.0,1.0,3.0,0.0,0.0,0.0,05-06,8
2005-10-26,Barcelona,Malaga,2.0,0.0,H,0.0,0.0,D,1,36.0,4.0,20.0,1.0,6.0,24.0,12.0,2.0,0.0,5.0,0.0,0.0,05-06,9
2005-10-26,La Coruna,Real Madrid,3.0,1.0,H,2.0,0.0,H,1,21.0,7.0,5.0,4.0,21.0,20.0,5.0,3.0,3.0,3.0,0.0,0.0,05-06,9
2005-10-26,Mallorca,Celta,1.0,0.0,H,0.0,0.0,D,1,15.0,8.0,5.0,2.0,23.0,22.0,5.0,4.0,3.0,1.0,0.0,1.0,05-06,9
2005-10-26,Osasuna,Ath Bilbao,3.0,2.0,H,1.0,1.0,D,1,11.0,16.0,7.0,2.0,21.0,19.0,2.0,2.0,4.0,1.0,0.0,0.0,05-06,9
2005-10-26,Betis,Villarreal,2.0,3.0,A,1.0,1.0,D,1,10.0,4.0,4.0,4.0,10.0,8.0,2.0,2.0,4.0,4.0,1.0,0.0,05-06,9
2005-10-27,Alaves,Espanol,1.0,1.0,D,1.0,1.0,D,1,12.0,12.0,9.0,6.0,19.0,12.0,10.0,10.0,3.0,3.0,1.0,0.0,05-06,9
2005-10-27,Ath Madrid,Cadiz,3.0,0.0,H,1.0,0.0,H,1,20.0,7.0,10.0,2.0,21.0,13.0,9.0,5.0,3.0,2.0,0.0,0.0,05-06,9
2005-10-27,Sociedad,Getafe,3.0,0.0,H,3.0,0.0,H,1,11.0,18.0,5.0,8.0,18.0,21.0,6.0,10.0,0.0,2.0,0.0,0.0,05-06,9
2005-10-27,Zaragoza,Santander,1.0,1.0,D,1.0,0.0,H,1,14.0,6.0,3.0,1.0,18.0,25.0,5.0,3.0,2.0,6.0,0.0,0.0,05-06,9
2005-10-27,Valencia,Sevilla,0.0,2.0,A,0.0,1.0,A,1,24.0,4.0,6.0,2.0,16.0,16.0,10.0,2.0,1.0,0.0,0.0,0.0,05-06,9
2005-10-29,Betis,Real Madrid,0.0,2.0,A,0.0,1.0,A,1,11.0,6.0,1.0,3.0,21.0,24.0,4.0,4.0,2.0,2.0,0.0,0.0,05-06,10
2005-10-29,Ath Bilbao,Celta,1.0,1.0,D,1.0,0.0,H,1,14.0,11.0,3.0,4.0,25.0,13.0,6.0,3.0,2.0,2.0,0.0,0.0,05-06,10
2005-10-30,La Coruna,Getafe,1.0,0.0,H,1.0,0.0,H,1,12.0,16.0,5.0,3.0,28.0,17.0,1.0,2.0,3.0,4.0,0.0,0.0,05-06,10
2005-10-30,Barcelona,Sociedad,5.0,0.0,H,2.0,0.0,H,1,21.0,2.0,8.0,1.0,13.0,9.0,4.0,5.0,1.0,3.0,0.0,1.0,05-06,10
2005-10-30,Zaragoza,Malaga,1.0,1.0,D,1.0,1.0,D,1,16.0,9.0,8.0,2.0,19.0,22.0,9.0,1.0,2.0,2.0,0.0,0.0,05-06,10
2005-10-30,Valencia,Santander,1.0,1.0,D,1.0,1.0,D,1,10.0,5.0,4.0,4.0,14.0,31.0,9.0,1.0,2.0,1.0,0.0,1.0,05-06,10
